Bank Name,Rank,Assets
Industrial and Commercial Bank of China,1.0,6303.44
Agricultural Bank of China,2.0,5623.12
China Construction Bank,3.0,5400.28
Bank of China,4.0,4578.28
JPMorgan Chase,5.0,3875.39
Bank of America,6.0,3180.15
HSBC,7.0,2919.84
BNP Paribas,8.0,2867.44
Mitsubishi UFJ Financial Group,9.0,2816.77
Crédit Agricole,10.0,2736.95
Postal Savings Bank of China,11.0,2217.86
Citigroup,12.0,2200.83
SMBC Group,13.0,2027.34
Banco Santander,14.0,1986.36
Bank of Communications,15.0,1982.89
Wells Fargo,16.0,1932.47
Mizuho Financial Group,17.0,1923.56
Barclays,18.0,1891.72
Société Générale,19.0,1717.49
UBS,20.0,1717.25
Groupe BPCE,21.0,1706.8
Goldman Sachs,22.0,1641.59
Japan Post Bank,23.0,1625.6
Royal Bank of Canada,24.0,1566.41
China Merchants Bank,25.0,1555.3
Deutsche Bank,26.0,1450.57
Industrial Bank (China),27.0,1432.59
Toronto-Dominion Bank,28.0,1428.29
China CITIC Bank,29.0,1276.63
Crédit Mutuel,30.0,1262.95
Shanghai Pudong Development Bank,31.0,1207.18
Morgan Stanley,32.0,1193.69
Lloyds Banking Group,33.0,1122.76
China Minsheng Bank,34.0,1082.37
ING Group,35.0,1078.35
Intesa Sanpaolo,36.0,1066.74
Scotiabank,37.0,1041.11
Bank of Montreal,38.0,990.19
China Everbright Bank,39.0,955.14
NatWest Group,40.0,882.3
UniCredit,41.0,872.9
Commonwealth Bank,42.0,868.74
Banco Bilbao Vizcaya Argentaria,43.0,857.25
Standard Chartered,44.0,822.84
La Banque postale,45.0,815.91
Ping An Bank,46.0,787.93
State Bank of India,47.0,780.05
ANZ Group,48.0,769.59
Canadian Imperial Bank of Commerce,49.0,726.27
DZ Bank,50.0,712.49
Norinchukin Bank,51.0,702.03
National Australia Bank,52.0,683.41
Rabobank,53.0,678.45
CaixaBank,54.0,671.13
Westpac,55.0,664.5
U.S. Bancorp,56.0,663.49
Nordea,57.0,662.71
KfW,58.0,648.55
Capital One,59.0,629.99
Sberbank of Russia,60.0,581.88
Commerzbank,61.0,571.64
Huaxia Bank,62.0,562.58
PNC Financial Services,63.0,561.58
DBS Group,64.0,560.1
Itaú Unibanco,65.0,555.72
KB Financial Group,66.0,551.94
Danske Bank,67.0,542.81
Truist Financial Corp,68.0,535.35
Shinhan Financial Group,69.0,533.48
Resona Holdings,70.0,527.53
Sumitomo Mitsui Trust Holdings,71.0,520.34
Bank of Beijing,72.0,503.31
China Guangfa Bank,73.0,495.55
Charles Schwab Corporation,74.0,493.18
HDFC Bank,75.0,464.34
Bank of Jiangsu,76.0,457.25
Hana Financial Group,77.0,456.47
Banco do Brasil,78.0,447.72
Nationwide Building Society,79.0,446.95
China Zheshang Bank,80.0,443.37
Oversea-Chinese Banking Corporation,81.0,441.53
Bank of Shanghai,82.0,435.14
ABN AMRO,83.0,417.72
BNY,84.0,409.88
United Overseas Bank,85.0,396.62
Banco Bradesco,86.0,394.76
Nonghyup Bank,87.0,394.46
Nomura Holdings,88.0,388.42
Woori Financial Group,89.0,384.04
KBC Group,90.0,383.47
Caixa Econômica Federal,91.0,377.29
Erste Group,92.0,372.67
Landesbank Baden-Württemberg,93.0,368.41
Bank of Ningbo,94.0,365.96
SEB Group,95.0,358.79
Raiffeisen Group,96.0,352.87
Handelsbanken,97.0,351.79
Industrial Bank of Korea,98.0,345.81
DNB,99.0,339.21
Qatar National Bank,100.0,338.14
